description,unspsc_code
Used in maintenance: Tamarillo purees,503874
Used in construction: Brass bars,302615
Used in maintenance: Apricots,503016
Restock: Dried onions,504252
Received delivery of Rivets,311622
Restock: Piling,301028
Invoice includes: Springs,311619
Needed for project: Dried pineapples,503256
Needed for project: Frozen kale,504442
Received delivery of Farm raised shellfish,501225
Warehouse input: Specialty steel coils,302643
Used in construction: Canned or jarred rose hips,503664
Warehouse input: Beams,301017
Used in construction: Melon purees,503851
Retail stock: Rails,301031
Invoice includes: Cereal seeds,042658
Restock: Eggs and egg substitutes,501316
Needed for project: Frozen winter squashes and winter pumpkins,504466
Used in maintenance: Dried huckleberries,503238
Procurement request for Channels,301018
Ordered Dried dragonfruit,503230
Procurement request for Wine grape purees,503839
Restock: Melon purees,503851
Restock: Celery,504027
Used in construction: Personal communications device accessories or parts,431916
Warehouse input: Frozen raspberries,503462
Procurement request for Canned or jarred blueberries,503622
Used in construction: Frozen mandarin oranges or tangerines,503444
Used in construction: Frozen potatoes,504456
Warehouse input: Frozen limes,503442
Used in maintenance: Fermented soybean products,501720
Needed for project: Flour and milled products,502213
Received delivery of Canned or jarred chicories,504629
Needed for project: Lead ingots strips billets and coil,302635
Ordered Wood structural materials,302663
Procurement request for Sapote purees,503870
Needed for project: Dried winter squashes and winter pumpkins,504266
Received delivery of Frozen lemons,503441
Retail stock: Frozen lentils,504445
Procurement request for Cranberries,503027
Received delivery of Titanium ingots strips billets and coil,302621
Used in construction: Dried limes,503242
Restock: Windows,301716
Used in maintenance: Shafts,301039
Ordered Animal hides and skins and animal textile materials,042321
Received delivery of Alcoholic beverages,502022
Needed for project: Tin bars,302630
Restock: Frozen yams,504467
Needed for project: Frozen herbs,504441
Procurement request for Clays,043415
Received delivery of Rain gutters and accessories,301517
Needed for project: Eggs and egg substitutes,501316
Warehouse input: Avocados,504017
Invoice includes: Canned or jarred pomegranates,503659
Restock: Chokeberries,503071
Retail stock: Canned or jarred sorrels,504660
Restock: Nickel sheets and ingots,302666
Needed for project: Dried sweet potatoes,504263
Needed for project: Garage doors and operators,301721
Ordered Wall finishing materials,301615
Warehouse input: Dried peas,504254
Retail stock: Canned or jarred wine grapes,503636
Used in maintenance: Canned or jarred strawberries,503667
Ordered Dried peanuts,504253
Procurement request for Canned or jarred cranberries,503627
Retail stock: Dried pomegranates,503259
Received delivery of Canned or jarred blueberries,503622
Invoice includes: Canned or jarred pears,503654
Ordered Canned or jarred broccoli,504620
Invoice includes: Frozen bearberries,503419
Warehouse input: Olives,503072
Procurement request for Spice crop seeds and seedlings,043388
Procurement request for Kohlrabi,504043
Used in maintenance: Dried sugar peas,504269
Procurement request for Canned or jarred nominant fruits,503670
Needed for project: Animal hides and skins and animal textile materials,042321
Restock: Minerals,042318
Restock: Blueberry purees,503826
Used in maintenance: Canned or jarred bayberries or myrtles,503648
Needed for project: Pickles and relish and olives,501719
Restock: Tangelo purees,503849
Received delivery of Canned or jarred citrons,503626
Needed for project: Frozen bayberries or myrtle,503448
Warehouse input: Farm raised shellfish,501225
Used in construction: Dried winter squashes and winter pumpkins,504266
Invoice includes: Canned or jarred citrons,503626
Needed for project: Bread and biscuits and cookies,501819
Invoice includes: Brussel sprouts,504021
Received delivery of Cans and pails,241122
Used in construction: Dried peppers,504255
Retail stock: Structural products,301036
Used in maintenance: Concrete reinforcement hardware,301119
Needed for project: Canned or jarred guavas,503637
Used in maintenance: Canned or jarred sorrels,504660
Procurement request for Confectionary products,501618
Invoice includes: Cabinetry,301618
Invoice includes: Tobacco and substitutes,502115
Procurement request for Canned or jarred carrots,504625
Retail stock: Nuts excluding wild edible nuts and groundnuts,501025
Ordered Frozen endives,504436
Warehouse input: Rivets,311622
Needed for project: Window frames,301719
Invoice includes: Dried corn,504232
Warehouse input: Pomelos,503060
Invoice includes: Frozen avocados,504417
Ordered Plate,301022
Procurement request for Raisin grapes,503035
Ordered Frozen blackberries,503420
Invoice includes: Road and railroad construction materials,301217
Procurement request for Structural products,301036
Ordered Cheese,501318
Retail stock: Lemons,503041
Procurement request for Mandarin oranges or tangerine purees,503848
Needed for project: Bearberries,503019
Invoice includes: Wild caught shellfish,501224
Received delivery of Dried myrtle,503248
Used in maintenance: Frozen pomegranates,503459
Invoice includes: Frozen potatoes,504456
Needed for project: Canned or jarred rhubarb,503663
Restock: Dried peaches,503253
Warehouse input: Frozen turnip greens,504465
Warehouse input: Canned or jarred endives,504636
Used in maintenance: Aluminum strips and ingots,302652
Invoice includes: Dried chokeberries,503271
Used in maintenance: Dried melons,503246
Used in construction: Dried cucumbers,504234
Invoice includes: Cranberries,503027
Procurement request for Flour tortillas,501933
Procurement request for Dried peaches,503253
Used in construction: Peanuts,504055
Retail stock: Sapote purees,503870
Used in construction: Nectarines,503049
Used in construction: Pomelos,503060
Used in maintenance: Frozen kohlrabi,504443
Ordered Frozen breadfruit,503423
Procurement request for Frozen fennels,504437
Ordered Pomelo purees,503865
Used in construction: Cereals,502211
Retail stock: Frozen chicories,504429
Procurement request for Canned or jarred bearberries,503619
Invoice includes: Onions,504053
Invoice includes: Dried rutabagas,504257
Invoice includes: Cereal seeds,042658
Needed for project: Windows,301716
Used in maintenance: Cheese,501318
Restock: Alcoholic beverages,502022
Used in construction: Canned or jarred kale,504642
Restock: Dirt and soil,042319
Received delivery of Orange purees,503855
Used in maintenance: Nectarines,503049
Invoice includes: Cauliflowers,504026
Procurement request for Dried olives,503272
Used in maintenance: Dried blackberries,503220
Needed for project: Sanitary ware,301815
Procurement request for Canned or jarred peanuts,504653
Ordered Canned or jarred eggplants,504635
Needed for project: Partition walls,301624
Ordered Post,301029
Procurement request for Plasters,301117
Invoice includes: Frozen onions,504452
Restock: Frozen shallots,504459
Used in construction: Audio and visual equipment,521615
Used in maintenance: Plain pasta and noodles,501929
Used in maintenance: Frozen rose hips,503464
Invoice includes: Cereal seeds,042658
Used in construction: Frozen bananas,503417
Ordered Frozen malanga,504447
Restock: Currant purees,503832
Used in construction: Processed and synthetic rubber,131016
Ordered Frozen corn,504432
Used in construction: Spinaches,504062
Received delivery of Dried beets,504219
Used in maintenance: Dried barberries,503218
Received delivery of Washers,311618
Used in construction: Shafting,302667
Needed for project: Dried figs,503231
Used in maintenance: Frozen nominant vegetables,504468
Restock: Crates,241129
Invoice includes: Dried melons,503246
Received delivery of Dried chards,504228
Invoice includes: Kumquat purees,503844
Ordered Banana purees,503821
Warehouse input: Finishing materials and products,301519
Needed for project: Canned or jarred strawberries,503667
Ordered Bags,241115
Retail stock: Media storage devices,432018
Ordered Wall finishing materials,301615
Ordered Dried lentils,504245
Warehouse input: Dried bilberries,503221
Used in maintenance: Frozen dragonfruit,503430
Needed for project: Frozen oranges,503450
Needed for project: Aluminum coil,302651
Restock: Carbon steel ingots strips billets and coil,302644
Ordered Lemon purees,503845
Needed for project: Canned or jarred peanuts,504653
Procurement request for Plastic coil and strips,302659
Restock: Dried cauliflowers,504226
Procurement request for Dried kiwi fruit,503239
Warehouse input: Oranges,503050
Procurement request for Cabbages,504023
Invoice includes: Dried loquats,503243
Used in construction: Frozen melons,503446
Procurement request for Dried mushrooms,504248
Warehouse input: Canned or jarred plums,503658
Invoice includes: Huckleberries,503038
Warehouse input: Siding and exterior wall materials,301518
Warehouse input: Dried sugar apple,503268
Ordered Huckleberry purees,503842
Warehouse input: Dates,503029
Procurement request for Canned or jarred avocados,504617
Used in construction: Dried gooseberries,503232
Warehouse input: Dried sweet potatoes,504263
Warehouse input: Roofing materials,301515
Needed for project: Apple purees,503819
Retail stock: Sugar apple purees,503873
Received delivery of Canned or jarred leeks,504644
Invoice includes: Aluminum sheets,302650
Retail stock: Hollow structural sections HSS,301040
Invoice includes: Frozen rutabagas,504457
Received delivery of Thermoplastic plastics,131020
Used in construction: Zinc ingots strips billets and coil,302629
Restock: Frozen corn,504432
Received delivery of Dried garlics,504238
Used in maintenance: Canned or jarred nominant fruits,503670
Retail stock: Cresses,504033
Procurement request for Endives,504036
Ordered Frozen cresses,504433
Used in maintenance: Thermoplastic plastics,131020
Warehouse input: Jams and jellies and nut and sweet spreads and fruit conserves,501924
Warehouse input: Plums,503058
Procurement request for Plant fibers,043416
Procurement request for Dried myrtle,503248
Needed for project: Precious metal and specialty metal coil strips billets and ingots,302662
Invoice includes: Rails,301031
Needed for project: Roofing materials,301515
Received delivery of Frozen citrons,503426
Restock: Bronze ingots strips billets and coil,302627
Retail stock: Wild caught shellfish,501224
Procurement request for Table grapes,503034
Invoice includes: Canned or jarred raisin grapes,503635
Retail stock: Frozen sea vegetables,504458
Received delivery of Frozen winter squashes and winter pumpkins,504466
Restock: Dried chives,504231
Used in maintenance: Slip sheets,241130
Needed for project: Dried olives,503272
Received delivery of Grating,301032
Warehouse input: Snack foods,501921
Needed for project: Tomatoes,504065
Ordered Flooring,301617
Needed for project: Frozen guavas,503437
Received delivery of Frozen tamarillo,503469
Procurement request for Casks and barrels and drums,241121
Restock: Resins,131110
Received delivery of Nails,311620
Procurement request for Bituminous derivatives,301215
Procurement request for Gourds,504039
Needed for project: Frozen avocados,504417
Restock: Nominant fruit purees,503875
Received delivery of Flower seeds and bulbs and seedlings and cuttings,043753
Received delivery of Tape,312015
Warehouse input: Tanks and cylinders and their accessories,241118
Invoice includes: Frozen corn,504432
Retail stock: Kiwi fruit purees,503843
Invoice includes: Kohlrabi,504043
Received delivery of Frozen carrots,504425
Needed for project: Frozen strawberries,503467
Used in maintenance: Frozen beans,504418
Received delivery of Plastic films,131112
Ordered Canned or jarred kiwi fruit,503639
Procurement request for Canned or jarred currants,503628
Used in construction: Frozen sugar apple,503468
Received delivery of Frozen mandarin oranges or tangerines,503444
Ordered Frozen gourds,504439
Ordered Frozen bunching onions,504422
Retail stock: Blocks,301315
Restock: Vinegars and cooking wines,501717
Received delivery of Dried raspberries,503262
Restock: Canned or jarred bayberries or myrtles,503648
Used in maintenance: Frozen olives,503472
Needed for project: Aluminum sheets,302650
Used in construction: Dried corn,504232
Needed for project: Nominant fruit purees,503875
Ordered Post,301029
Procurement request for Canned or jarred guavas,503637
Procurement request for Desserts and dessert toppings,501923
Restock: Dried peanuts,504253
Needed for project: Canned or jarred mustards,504649
Ordered Desserts and dessert toppings,501923
Retail stock: Residues other than animal feed,044484
Warehouse input: Spice crop seeds and seedlings,043388
Needed for project: Milk and butter products,501317
Restock: Blueberry purees,503826
Used in construction: Peppers,504056
Restock: Computers,432115
Ordered Mandarin oranges or tangerines,503044
Received delivery of Dried carrots,504225
Retail stock: Frozen dates,503429
Ordered Canned or jarred currants,503628
Retail stock: Frozen herbs,504441
Invoice includes: Chards,504028
Invoice includes: Figs,503031
Procurement request for Precious metal and specialty metal coil strips billets and ingots,302662
Retail stock: Frozen currants,503428
Needed for project: Canned or jarred beans,504618
Used in construction: Frozen breadfruit,503423
Warehouse input: Okras,504052
Restock: Raisin grapes,503035
Invoice includes: Sugar apple,503068
Restock: Frozen melons,503446
Restock: Foil,301020
Used in construction: Mulberries,503047
Ordered Malanga,504047
Restock: Thermoplastic plastics,131020
Retail stock: Frozen gooseberries,503432
Used in construction: Cement and lime,301116
Invoice includes: Canned or jarred artichokes,504615
Received delivery of Nails,311620
Restock: Oranges,503050
Procurement request for Canned or jarred garlics,504638
Used in construction: Tin ingots strip and coil,302632
Ordered Legume seeds and seedlings,045214
Used in maintenance: Cranberry purees,503831
Invoice includes: Canned or jarred peppers,504655
Invoice includes: Frozen chinese cabbages,504430
Used in maintenance: Canned or jarred bananas,503617
Retail stock: Canned or jarred fennels,504637
Received delivery of Dried apricots,503216
Invoice includes: Roofing accessories,301516
Invoice includes: Frozen herbs,504441
Ordered Stainless steel sheets,302646
Invoice includes: Rose hip purees,503869
Used in construction: Carrots,504025
Retail stock: Frozen melons,503446
Received delivery of Canned or jarred potatoes,504656
Procurement request for Plum purees,503863
Received delivery of Dried winter squashes and winter pumpkins,504266
Retail stock: Bearberry purees,503823
Needed for project: Guavas,503037
Used in construction: Canned or jarred celery,504627
Needed for project: Frozen nominant vegetables,504468
Retail stock: Canned or jarred sorrels,504660
Ordered Canned or jarred lettuces,504646
Procurement request for Dried mandarin oranges or tangerines,503244
Received delivery of Intermediate processed and refined ore products,043779
Restock: Dried peanuts,504253
Warehouse input: Farm raised fish,501221
Received delivery of Bituminous derivatives,301215
Ordered Frozen citrons,503426
Procurement request for Tuber seeds and seedlings,045580
Warehouse input: Bayberries or myrtles,503048
Used in construction: Dried bilberries,503221
Retail stock: Dried loquats,503243
Retail stock: Canned or jarred apples,503615
Used in construction: Crates,241129
Warehouse input: Canned or jarred loquats,503643
Needed for project: Dried mulberries,503247
Procurement request for Dried tamarillo,503269
Used in construction: Frozen sea vegetables,504458
Warehouse input: Paperboard and packaging papers,141215
Invoice includes: Asparagus,504016
Received delivery of Processed cereals,502212
Ordered Thermal insulation,301415
Used in construction: Magnesium ingots strips billets and coil,302619
Ordered Dried lettuces,504246
Needed for project: Aluminum sheets,302650
Needed for project: Angles,301015
Invoice includes: Dried huckleberries,503238
Retail stock: Frozen brussel sprouts,504421
Used in construction: Nickel sheets and ingots,302666
Procurement request for Removable storage media accessories,432021
Retail stock: Plucot purees,503862
Warehouse input: Barberries,503018
Retail stock: Bronze ingots strips billets and coil,302627
Procurement request for Tin ingots strip and coil,302632
Received delivery of Bread and biscuits and cookies,501819
Needed for project: Canned or jarred bearberries,503619
Received delivery of Tobacco and substitutes,502115
Used in construction: Frozen plucots,503457
Retail stock: Strawberries,503067
Used in construction: Snack foods,501921
Received delivery of Canned or jarred celery,504627
Needed for project: Cheese,501318
Restock: Canned or jarred mushrooms,504648
Invoice includes: Wild caught fish,501220
Used in construction: Canned or jarred papayas,503651
Used in construction: Frozen sorrels,504460
Restock: Honeycomb core,301035
Warehouse input: Frozen citrons,503426
Warehouse input: Frozen dates,503429
Received delivery of Dried barberries,503218
Used in construction: Pineapple purees,503861
Needed for project: Titanium bars and sheets,302620
Ordered Olive purees,503877
Received delivery of Storage chests and cabinets and trunks,241124
Received delivery of Guavas,503037
Invoice includes: Desserts and dessert toppings,501923
Used in construction: Specialty insulation,301416
Warehouse input: Interior laminates,301620
Warehouse input: Brass ingots strips billets and coil,302617
Retail stock: Bilberry purees,503825
Used in maintenance: Frozen lettuces,504446
Used in maintenance: Frozen turnip greens,504465
Used in maintenance: Frozen peas,504454
Invoice includes: Grating,301032
Needed for project: Canned or jarred brussel sprouts,504621
Used in maintenance: Frozen oranges,503450
Restock: Screws,311615
Procurement request for Table grape purees,503838
Received delivery of Frozen yams,504467
Needed for project: Frozen bearberries,503419
Warehouse input: Dried eggplants,504235
Retail stock: Olive purees,503877
Procurement request for Canned or jarred nightshades,504650
Invoice includes: Kumquats,503040
Received delivery of Frozen mandarin oranges or tangerines,503444
Invoice includes: Frozen malanga,504447
Invoice includes: Dried pomegranates,503259
Restock: Tamarillo,503069
Ordered Dried kohlrabi,504243
Ordered Frozen pears,503454
Invoice includes: Dried rhubarb,503263
Used in maintenance: Asphalts,301216
Warehouse input: Frozen mushrooms,504448
Procurement request for Frozen bananas,503417
Used in maintenance: Canned or jarred mushrooms,504648
Used in construction: Tobacco and substitutes,502115
Warehouse input: Canned or jarred gooseberries,503632
Invoice includes: Canned or jarred cardoons,504624
Used in construction: Plate,301022
Used in maintenance: Resins,131110
Used in construction: Frozen leeks,504444
Invoice includes: Frozen grapefruit,503433
Restock: Dried kumquats,503240
Ordered Leeks,504044
Procurement request for Loquats,503043
Used in construction: Mandarin oranges or tangerines,503044
Invoice includes: Canned or jarred citrons,503626
Restock: Frozen barberries,503418
Needed for project: Canned or jarred bunching onions,504622
Used in maintenance: Resins,131110
Ordered Frozen cardoons,504424
Needed for project: Nominant fruits,503070
Invoice includes: Cherimoyas purees,503828
Procurement request for Specialty insulation,301416
Used in maintenance: Canned or jarred dragonfruit,503630
Restock: Dried cauliflowers,504226
Used in maintenance: Frozen rose hips,503464
Needed for project: Ceiling materials,301616
Needed for project: Dried artichokes,504215
Warehouse input: Frozen lentils,504445
Retail stock: Rain gutters and accessories,301517
Used in maintenance: Dried malanga,504247
Warehouse input: Melon purees,503851
Needed for project: Window frames,301719
Used in construction: Canned or jarred citrons,503626
Needed for project: Canned or jarred oranges,503650
Used in maintenance: Dried plums,503258
Restock: Canned or jarred persimmons,503655
Used in maintenance: Frozen sapotes,503465
Used in maintenance: Canned or jarred apples,503615
Received delivery of Papaya purees,503856
Invoice includes: Dried cucumbers,504234
Received delivery of Tamarillo purees,503874
Needed for project: Dried corn,504232
Used in maintenance: Finishing materials and products,301519
Invoice includes: Personal communications device accessories or parts,431916
Received delivery of Canned or jarred carrots,504625
Used in maintenance: Fresh pome fruit juice or concentrate,502026
Procurement request for Bricks,301316
Received delivery of Peas,504054
Invoice includes: Dried breadfruit,503223
Received delivery of Wood structural materials,302663
Retail stock: Chicories,504029
Retail stock: Frozen peanuts,504453
Needed for project: Rosins,131111
Procurement request for Frozen endives,504436
Restock: Precious metal and specialty metal bars,302660
Restock: Canned or jarred nominant vegetables,504668
Invoice includes: Frozen currants,503428
Used in construction: Frozen chards,504428
Restock: Frozen corn,504432
Invoice includes: Frozen pineapples,503456
Procurement request for Canned or jarred cauliflowers,504626
Used in construction: Frozen malanga,504447
Used in construction: Frozen endives,504436
Retail stock: Chinese cabbages,504030
Needed for project: Rhubarb purees,503868
Used in maintenance: Canned or jarred sorrels,504660
Used in construction: Banana purees,503821
Ordered Magnesium bars and sheets,302618
Invoice includes: Wall finishing materials,301615
Used in construction: Titanium bars and sheets,302620
Used in construction: Tuber seeds and seedlings,045580
Warehouse input: Olives,503072
Ordered Table grapes,503034
Warehouse input: Dried celery,504227
Used in construction: Corn,504032
Used in maintenance: Dried cabbages,504223
Ordered Canned or jarred corn,504632
Retail stock: Windows,301716
Received delivery of Dried chinese cabbages,504230
Used in construction: Frozen potatoes,504456
Used in construction: Canned or jarred oranges,503650
Needed for project: Packaging tubes and cores and labels and accessories,241417
Needed for project: Steel alloy bars,302637
Warehouse input: Jams and jellies and nut and sweet spreads and fruit conserves,501924
Invoice includes: Citron purees,503830
Used in maintenance: Liquid containers,241126
Invoice includes: Cereal seeds,042658
Received delivery of Dried artichokes,504215
Used in construction: Bananas,503017
Used in maintenance: Insulation sealing layers,301417
Ordered Prepared soups and stews,501915
Used in construction: Canned or jarred tomatoes,504664
Retail stock: Frozen asparagus,504416
Used in construction: Cresses,504033
Restock: Canned or jarred loquats,503643
Used in maintenance: Cement and lime,301116
Restock: Bronze sheets,302626
Warehouse input: Dried pomegranates,503259
Needed for project: Citron purees,503830
Ordered Packaging cans,241218
Used in construction: Canned or jarred kumquats,503640
Warehouse input: Stainless steel strips,302648
Warehouse input: Carrots,504025
Ordered Bayberry and myrtle purees,503853
Procurement request for Apricots,503016
Used in construction: Canned or jarred nectarines,503649
Restock: Breadfruit purees,503827
Used in maintenance: Dried cranberries,503227
Restock: Frozen malanga,504447
Ordered Chinese cabbages,504030
Received delivery of Sanitary ware,301815
Used in construction: Window frames,301719
Retail stock: Frozen chicories,504429
Invoice includes: Specialty steel bars,302639
Used in maintenance: Canned or jarred oranges,503650
Retail stock: Apricots,503016
Retail stock: Canned or jarred papayas,503651
Used in construction: Dried onions,504252
Received delivery of Dried myrtle,503248
Used in construction: Guavas,503037
Received delivery of Huckleberry purees,503842
Procurement request for Decorative rock,043780
Used in maintenance: Frozen chokeberries,503471
Ordered Dried rose hips,503264
Needed for project: Plucots,503057
Ordered Frozen herbs,504441
Retail stock: Cabbages,504023
Invoice includes: Frozen saskatoon berries,503466
Procurement request for Paperboard and packaging papers,141215
Ordered Residues other than animal feed,044484
Ordered Canned or jarred beans,504618
Invoice includes: Frozen blueberries,503422
Invoice includes: Insulation sealing layers,301417
Ordered Frozen eggplants,504435
Warehouse input: Storage chests and cabinets and trunks,241124
Restock: Insulation sealing layers,301417
Invoice includes: Molded seals,314119
Restock: Dried nominant vegetables,504268
Used in maintenance: Nominant fruits,503070
Procurement request for Strawberries,503067
Warehouse input: Frozen dates,503429
Invoice includes: Aquatic invertebrates,501217
Used in maintenance: Tree and shrub seeds and cuttings,044119
Received delivery of Vinegars and cooking wines,501717
Retail stock: Canned or jarred saskatoon berries,503666
Restock: Canned or jarred pomelos,503660
Warehouse input: Sapotes,503065
Warehouse input: Stainless steel strips,302648
Procurement request for Dried chards,504228
Restock: Rutabagas,504058
Received delivery of Malanga,504047
Procurement request for Dried loquats,503243
Warehouse input: Sugar peas,504071
Ordered Dried kiwi fruit,503239
Received delivery of Stainless steel bars,302645
Warehouse input: Plant fibers,043416
Used in construction: Brass ingots strips billets and coil,302617
Used in construction: Canned or jarred endives,504636
Invoice includes: Frozen blackberries,503420
Procurement request for Canned or jarred chinese cabbages,504630
Warehouse input: Cement and lime,301116
Invoice includes: Carbon steel bars,302636
Procurement request for Frozen rhubarb,503463
Received delivery of Dried potatoes,504256
Warehouse input: Carbon steel sheets,302640
Procurement request for Table grape purees,503838
Warehouse input: Tubers,504072
Ordered Limes,503042
Retail stock: Dried grapefruit,503233
Needed for project: Canned or jarred papayas,503651
Used in construction: Precious metal and specialty metal bars,302660
Retail stock: Dried lentils,504245
Procurement request for Canned or jarred brussel sprouts,504621
Needed for project: Canned or jarred nectarines,503649
Retail stock: Alcoholic beverages,502022
Ordered Tobacco and substitutes,502115
Used in construction: Canned or jarred lentils,504645
Used in maintenance: Dried tomatoes,504264
Procurement request for Dried artichokes,504215
Used in construction: Frozen broccoli,504420
Retail stock: Canned or jarred eggplants,504635
Used in maintenance: Minimally processed meat and poultry products,501115
Restock: Canned or jarred kohlrabi,504643
Used in construction: Dried bearberries,503219
Restock: Dried citrons,503226
Needed for project: Canned or jarred papayas,503651
Received delivery of Frozen cardoons,504424
Warehouse input: Bronze ingots strips billets and coil,302627
Needed for project: Gooseberry purees,503836
Used in maintenance: Canned or jarred endives,504636
Used in maintenance: Shellfish,501216
Used in construction: Sugar peas,504071
Warehouse input: Gates,301720
Received delivery of Farm raised shellfish,501225
Retail stock: Carbon steel ingots strips billets and coil,302644
Invoice includes: Carbon steel ingots strips billets and coil,302644
Procurement request for Canned or jarred gooseberries,503632
Received delivery of Canned or jarred green peas,504640
Used in maintenance: Currants,503028
Invoice includes: Dried cabbages,504223
Used in maintenance: Frozen sea vegetables,504458
Warehouse input: Corrugated and other supplies for distribution,241125
Warehouse input: Canned or jarred sugar peas,504669
Used in construction: Canned or jarred kimchis,504670
Retail stock: Dragonfruit purees,503834
Ordered Stone,042685
Used in maintenance: Canned or jarred asparagus,504616
Retail stock: Frozen apricots,503416
Restock: Canned or jarred chokeberries,503671
Used in maintenance: Dried currants,503228
Invoice includes: Frozen green peas,504440
Retail stock: Ceiling materials,301616
Received delivery of Chards,504028
Retail stock: Gooseberry purees,503836
Received delivery of Dried peppers,504255
Warehouse input: Herbs and spices and extracts,501715
Received delivery of Bilberries,503021
Needed for project: Desserts and dessert toppings,501923
Ordered Dried table grapes,503234
Needed for project: Dried bearberries,503219
Invoice includes: Canned or jarred summer squashes and summer pumpkins,504662
Procurement request for Sea vegetables,504059
Invoice includes: Canned or jarred beans,504618
Used in construction: Canned or jarred eggplants,504635
Used in maintenance: Cherries,503025
Needed for project: Dried saskatoon berries,503266
Invoice includes: Fresh vegetable juice or concentrate,502031
Used in maintenance: Frozen sugar peas,504469
Used in maintenance: Dried cardoons,504224
Used in maintenance: Specialty material coil strips billets and ingots,302665
Ordered Frozen nominant vegetables,504468
Procurement request for Canned or jarred mangoes,503645
Received delivery of Flooring,301617
Invoice includes: Blackberries,503020
Used in construction: Blocks,301315
Invoice includes: Plastic bars and sheets,302658
Received delivery of Dried lentils,504245
Warehouse input: Canned or jarred beets,504619
Retail stock: Chives,504031
Used in maintenance: Dried nominant fruits,503270
Needed for project: Herbs and spices and extracts,501715
Needed for project: Canned or jarred lettuces,504646
Retail stock: Frozen kohlrabi,504443
Used in construction: Vinegars and cooking wines,501717
Needed for project: Canned or jarred saskatoon berries,503666
Retail stock: Frozen nominant vegetables,504468
Retail stock: Frozen sugar apple,503468
Used in maintenance: Ferrous alloy bars and sheets,302656
Received delivery of Onions,504053
Received delivery of Dried peaches,503253
Received delivery of Thermoplastic plastics,131020
Invoice includes: Brass bars,302615
Procurement request for Concrete reinforcement hardware,301119
Invoice includes: Turnip greens,504066
Retail stock: Leeks,504044
Procurement request for Canned or jarred oranges,503650
Needed for project: Canned or jarred fennels,504637
Restock: Frozen cardoons,504424
Invoice includes: Boxes,241131
Invoice includes: Pear purees,503859
