description,unspsc_code
Acquired 25 units of 14-inch business laptop,43211503
Requisition for Flexible copper wire,26121524
Delivery note for 2 pcs of Steel rebars 10mm,30102307
Procurement of Wall slab 2m,30111504
Acquired 25 units of Exterior concrete board,30111504
Bought: 12 Gigabit router 5GHz,43222609
Bought: 2 Laptop i7 processor,43211503
Shipment includes PVC elbow 2in,40142320
Requested: Single core insulated cable,26121524
Acquired 12 units of Basmati rice 5kg,50201700
Delivery note for 12 pcs of Wireless dual-band router,43222609
Acquired 10 units of Drainage elbow 50mm,40142320
Invoice: 2 x Plumbing pipe elbow,40142320
Invoice: 12 x Rice sack 5kg,50201700
Shipment includes Wall slab 2m,30111504
Delivery note for 2 pcs of Mild steel bars,30102307
Bought: 25 Thai jasmine rice,50201700
Line item: Gigabit router 5GHz,43222609
Line item: Matte latex paint,31211504
Delivery note for 12 pcs of Block of cheddar 1kg,50131708
Order placed for Wall slab 2m,30111504
Requested: 5L matte paint bucket,31211504
Procurement of Interior matte emulsion,31211504
Bought: 50 Wall coating white matte,31211504
Shipment includes Laptop i7 processor,43211503
Shipment includes Concrete wall section,30111504
Invoice: 25 x Long grain rice 4kg,50201700
Shipment includes Steel rebars 10mm,30102307
Line item: Cheddar wedge 500g,50131708
Order placed for Electric cable 1.5mm,26121524
Requisition for White cheddar slices,50131708
Line item: Wall slab 2m,30111504
Requisition for Flexible copper wire,26121524
Line item: White cheddar slices,50131708
Requisition for 5L matte paint bucket,31211504
Line item: 5L matte paint bucket,31211504
Delivery note for 5 pcs of Plastic pipe elbow joint,40142320
Order placed for WiFi 6 router,43222609
Shipment includes Sliced cheddar cheese,50131708
Order placed for Sliced cheddar cheese,50131708
Requisition for Steamed white rice,50201700
Requested: Basmati rice 5kg,50201700
Bought: 25 Rice sack 5kg,50201700
Shipment includes Steel rods for foundation,30102307
Delivery note for 50 pcs of Mild steel bars,30102307
Requisition for Rice sack 5kg,50201700
Requested: Single core insulated cable,26121524
Shipment includes 5L matte paint bucket,31211504
Acquired 25 units of 10mm construction steel,30102307
Line item: Long grain rice 4kg,50201700
Procurement of Heavy panel for construction,30111504
Procurement of Heavy panel for construction,30111504
Line item: Long grain rice 4kg,50201700
Shipment includes Mild steel bars,30102307
Acquired 5 units of Wall coating white matte,31211504
Shipment includes Steamed white rice,50201700
Procurement of Laptop i7 processor,43211503
Acquired 2 units of Copper wire 100m,26121524
Procurement of Laptop with 16GB RAM,43211503
Bought: 2 White paint 10L,31211504
Line item: Interior matte emulsion,31211504
Requested: Company-issued laptop,43211503
Invoice: 12 x 90-degree PVC fitting,40142320
Invoice: 5 x Precast wall panel,30111504
Procurement of Company-issued laptop,43211503
Shipment includes Exterior concrete board,30111504
Bought: 25 White paint 10L,31211504
Delivery note for 50 pcs of White paint 10L,31211504
Bought: 50 Precast wall panel,30111504
Requisition for Mild steel bars,30102307
Requisition for Wireless dual-band router,43222609
Shipment includes Wireless dual-band router,43222609
Shipment includes Carton of large eggs,50131705
Shipment includes Organic eggs dozen,50131705
Bought: 50 House wiring cable,26121524
Line item: Flexible copper wire,26121524
Acquired 50 units of Wall slab 2m,30111504
Delivery note for 10 pcs of White paint 10L,31211504
Bought: 12 Wall coating white matte,31211504
Procurement of Steamed white rice,50201700
Line item: Office WiFi router,43222609
Acquired 5 units of Internet router for branch,43222609
Requisition for Wall slab 2m,30111504
Order placed for Electric cable 1.5mm,26121524
Requisition for Rice sack 5kg,50201700
Line item: Wall coating white matte,31211504
Delivery note for 2 pcs of Steel rebars 10mm,30102307
Delivery note for 25 pcs of Long grain rice 4kg,50201700
Line item: Wall slab 2m,30111504
Shipment includes House wiring cable,26121524
Acquired 25 units of House wiring cable,26121524
Delivery note for 5 pcs of Fresh eggs 12-pack,50131705
Requested: White paint 10L,31211504
Invoice: 2 x Company-issued laptop,43211503
Delivery note for 25 pcs of Wall coating white matte,31211504
Bought: 5 Heavy panel for construction,30111504
Delivery note for 2 pcs of Notebook PC for office,43211503
Delivery note for 1 pcs of Office WiFi router,43222609
Delivery note for 1 pcs of Electric cable 1.5mm,26121524
Delivery note for 25 pcs of Steel rods for foundation,30102307
Order placed for White cheddar slices,50131708
Delivery note for 10 pcs of Steel rods for foundation,30102307
Acquired 2 units of Farm eggs (large),50131705
Line item: Mild steel bars,30102307
Line item: Laptop i7 processor,43211503
Invoice: 2 x Precast wall panel,30111504
Order placed for Wall slab 2m,30111504
Shipment includes Company-issued laptop,43211503
Requested: Heavy panel for construction,30111504
Line item: Flexible copper wire,26121524
Shipment includes Plumbing pipe elbow,40142320
Procurement of Heavy panel for construction,30111504
Requested: Notebook PC for office,43211503
Requested: Notebook PC for office,43211503
Invoice: 1 x Copper wire 100m,26121524
Bought: 10 Rice sack 5kg,50201700
Requested: PVC elbow 2in,40142320
Order placed for Drainage elbow 50mm,40142320
Bought: 25 5L matte paint bucket,31211504
Order placed for Wall coating white matte,31211504
Delivery note for 50 pcs of Interior matte emulsion,31211504
Procurement of Block of cheddar 1kg,50131708
Bought: 5 Plumbing pipe elbow,40142320
Line item: Carton of large eggs,50131705
Delivery note for 12 pcs of Drainage elbow 50mm,40142320
Line item: Flexible copper wire,26121524
Shipment includes Precast wall panel,30111504
Delivery note for 1 pcs of WiFi 6 router,43222609
Bought: 12 Notebook PC for office,43211503
Bought: 1 Mild steel bars,30102307
Requisition for White cheddar slices,50131708
Invoice: 12 x Fresh eggs 12-pack,50131705
Order placed for Rice sack 5kg,50201700
Acquired 5 units of Gigabit router 5GHz,43222609
Acquired 10 units of Notebook PC for office,43211503
Shipment includes Fresh eggs 12-pack,50131705
Line item: Copper wire 100m,26121524
Acquired 1 units of Internet router for branch,43222609
Procurement of Thai jasmine rice,50201700
Shipment includes Flexible copper wire,26121524
Acquired 12 units of Matte latex paint,31211504
Procurement of Farm eggs (large),50131705
Invoice: 5 x Plumbing pipe elbow,40142320
Order placed for Farm eggs (large),50131705
Invoice: 5 x Concrete wall section,30111504
Requisition for Copper wire 100m,26121524
Order placed for Notebook PC for office,43211503
Line item: Notebook PC for office,43211503
Delivery note for 10 pcs of Plumbing pipe elbow,40142320
Requested: Farm eggs (large),50131705
Shipment includes Electric cable 1.5mm,26121524
Invoice: 50 x Heavy panel for construction,30111504
Shipment includes 14-inch business laptop,43211503
Procurement of House wiring cable,26121524
Bought: 25 Plumbing pipe elbow,40142320
Line item: Organic eggs dozen,50131705
Acquired 12 units of Fresh eggs 12-pack,50131705
Line item: Flexible copper wire,26121524
Bought: 10 Interior matte emulsion,31211504
Procurement of Wall coating white matte,31211504
Shipment includes Farm eggs (large),50131705
Procurement of White cheddar slices,50131708
Acquired 50 units of Single core insulated cable,26121524
Order placed for Laptop i7 processor,43211503
Invoice: 10 x Carton of large eggs,50131705
Line item: Block of cheddar 1kg,50131708
Bought: 25 90-degree PVC fitting,40142320
Acquired 50 units of Basmati rice 5kg,50201700
Acquired 25 units of Flexible copper wire,26121524
Procurement of Free-range eggs pack,50131705
Delivery note for 2 pcs of Notebook PC for office,43211503
Order placed for Laptop i7 processor,43211503
Invoice: 25 x Laptop i7 processor,43211503
Procurement of PVC elbow 2in,40142320
Acquired 5 units of Mild steel bars,30102307
Requested: Long grain rice 4kg,50201700
Invoice: 2 x Thai jasmine rice,50201700
Bought: 50 Block of cheddar 1kg,50131708
Requested: Thai jasmine rice,50201700
Requested: Concrete wall section,30111504
Delivery note for 25 pcs of Drainage elbow 50mm,40142320
Delivery note for 25 pcs of 10mm construction steel,30102307
Order placed for Electric cable 1.5mm,26121524
Delivery note for 25 pcs of WiFi 6 router,43222609
Line item: Steamed white rice,50201700
Shipment includes Plastic pipe elbow joint,40142320
Requested: Carton of large eggs,50131705
Bought: 5 Wall slab 2m,30111504
Shipment includes PVC elbow 2in,40142320
Procurement of Steel rods for foundation,30102307
Requested: Fresh eggs 12-pack,50131705
Requested: Office WiFi router,43222609
Order placed for Plastic pipe elbow joint,40142320
Line item: Mild steel bars,30102307
Invoice: 1 x Wall slab 2m,30111504
Shipment includes 90-degree PVC fitting,40142320
Requisition for Interior matte emulsion,31211504
Delivery note for 50 pcs of Single core insulated cable,26121524
Line item: Mature cheddar block,50131708
Order placed for 90-degree PVC fitting,40142320
Requested: Notebook PC for office,43211503
Acquired 1 units of Thai jasmine rice,50201700
Delivery note for 12 pcs of Basmati rice 5kg,50201700
Acquired 25 units of Laptop i7 processor,43211503
Shipment includes Plumbing pipe elbow,40142320
Requested: Wireless dual-band router,43222609
Requisition for Steel rods for foundation,30102307
Order placed for Concrete wall section,30111504
Shipment includes Fresh eggs 12-pack,50131705
Procurement of Block of cheddar 1kg,50131708
Order placed for Carton of large eggs,50131705
Shipment includes Electric cable 1.5mm,26121524
Shipment includes WiFi 6 router,43222609
Order placed for White cheddar slices,50131708
Shipment includes Free-range eggs pack,50131705
Requested: Mild steel bars,30102307
Acquired 1 units of Organic eggs dozen,50131705
Acquired 1 units of WiFi 6 router,43222609
Requested: Steamed white rice,50201700
Requested: Carton of large eggs,50131705
Procurement of Precast wall panel,30111504
Invoice: 50 x Office WiFi router,43222609
Order placed for Concrete wall section,30111504
Bought: 2 Electric cable 1.5mm,26121524
Invoice: 50 x 5L matte paint bucket,31211504
Delivery note for 50 pcs of Precast wall panel,30111504
Requisition for Sliced cheddar cheese,50131708
Procurement of Block of cheddar 1kg,50131708
Requested: Mild steel bars,30102307
Invoice: 5 x Wireless dual-band router,43222609
Shipment includes Rebar rods for concrete,30102307
Line item: Laptop with 16GB RAM,43211503
Bought: 1 WiFi 6 router,43222609
Requested: Free-range eggs pack,50131705
Delivery note for 10 pcs of Steel rods for foundation,30102307
Line item: Steel rebars 10mm,30102307
Order placed for Rice sack 5kg,50201700
Order placed for Carton of large eggs,50131705
Order placed for Concrete wall section,30111504
Bought: 12 Plumbing pipe elbow,40142320
Bought: 12 Gigabit router 5GHz,43222609
Requisition for Drainage elbow 50mm,40142320
Order placed for Basmati rice 5kg,50201700
Shipment includes Electric cable 1.5mm,26121524
Acquired 50 units of Wall coating white matte,31211504
Shipment includes Farm eggs (large),50131705
Shipment includes 14-inch business laptop,43211503
Invoice: 25 x 90-degree PVC fitting,40142320
Order placed for Carton of large eggs,50131705
Shipment includes Laptop with 16GB RAM,43211503
Requisition for Office WiFi router,43222609
Requisition for Heavy panel for construction,30111504
Acquired 50 units of Laptop i7 processor,43211503
Delivery note for 12 pcs of Basmati rice 5kg,50201700
Order placed for 90-degree PVC fitting,40142320
Invoice: 25 x Electric cable 1.5mm,26121524
Order placed for Organic eggs dozen,50131705
Order placed for House wiring cable,26121524
Requested: Plumbing pipe elbow,40142320
Bought: 12 Thai jasmine rice,50201700
Bought: 25 Copper wire 100m,26121524
Invoice: 5 x PVC elbow 2in,40142320
Acquired 1 units of 90-degree PVC fitting,40142320
Bought: 25 Sliced cheddar cheese,50131708
Invoice: 25 x Basmati rice 5kg,50201700
Requisition for Steel rebars 10mm,30102307
Line item: Rice sack 5kg,50201700
Delivery note for 25 pcs of Mature cheddar block,50131708
Bought: 1 WiFi 6 router,43222609
Invoice: 50 x Rebar rods for concrete,30102307
Order placed for Precast wall panel,30111504
Line item: Farm eggs (large),50131705
Delivery note for 2 pcs of Farm eggs (large),50131705
Acquired 10 units of Copper wire 100m,26121524
Bought: 10 14-inch business laptop,43211503
Procurement of House wiring cable,26121524
Procurement of Thai jasmine rice,50201700
Requested: 5L matte paint bucket,31211504
Delivery note for 5 pcs of Mature cheddar block,50131708
Line item: Laptop with 16GB RAM,43211503
Invoice: 10 x Long grain rice 4kg,50201700
Requisition for Electric cable 1.5mm,26121524
Shipment includes Wireless dual-band router,43222609
Procurement of 10mm construction steel,30102307
Bought: 10 14-inch business laptop,43211503
Shipment includes Exterior concrete board,30111504
Procurement of Laptop i7 processor,43211503
Line item: Cheddar wedge 500g,50131708
Shipment includes Wireless dual-band router,43222609
Shipment includes Notebook PC for office,43211503
Order placed for Thai jasmine rice,50201700
Requested: 90-degree PVC fitting,40142320
Requisition for Block of cheddar 1kg,50131708
Requisition for Company-issued laptop,43211503
Invoice: 2 x Internet router for branch,43222609
Delivery note for 2 pcs of Notebook PC for office,43211503
Invoice: 50 x Cheddar wedge 500g,50131708
Line item: Notebook PC for office,43211503
Line item: Heavy panel for construction,30111504
Acquired 50 units of Heavy panel for construction,30111504
Line item: Office WiFi router,43222609
Delivery note for 50 pcs of Farm eggs (large),50131705
Procurement of Plumbing pipe elbow,40142320
Delivery note for 10 pcs of Copper wire 100m,26121524
Procurement of Carton of large eggs,50131705
Order placed for PVC elbow 2in,40142320
Shipment includes Heavy panel for construction,30111504
Procurement of Heavy panel for construction,30111504
Acquired 12 units of Concrete wall section,30111504
Invoice: 1 x Free-range eggs pack,50131705
Acquired 25 units of Carton of large eggs,50131705
Invoice: 1 x Company-issued laptop,43211503
Line item: Wall coating white matte,31211504
Invoice: 5 x Single core insulated cable,26121524
Shipment includes Internet router for branch,43222609
Procurement of WiFi 6 router,43222609
Acquired 1 units of Wireless dual-band router,43222609
Delivery note for 5 pcs of Flexible copper wire,26121524
Acquired 1 units of Concrete wall section,30111504
Acquired 5 units of Concrete wall section,30111504
Bought: 25 Long grain rice 4kg,50201700
Requisition for 14-inch business laptop,43211503
Requisition for Office WiFi router,43222609
Acquired 1 units of Thai jasmine rice,50201700
Invoice: 2 x Internet router for branch,43222609
Requested: Gigabit router 5GHz,43222609
Order placed for Sliced cheddar cheese,50131708
Requisition for Company-issued laptop,43211503
Acquired 50 units of Copper wire 100m,26121524
Bought: 10 Concrete wall section,30111504
Invoice: 50 x Sliced cheddar cheese,50131708
Line item: Concrete wall section,30111504
Requested: Steamed white rice,50201700
Line item: Wall slab 2m,30111504
Delivery note for 50 pcs of Electric cable 1.5mm,26121524
Acquired 25 units of Organic eggs dozen,50131705
Line item: Exterior concrete board,30111504
Requisition for Drainage elbow 50mm,40142320
Requested: Long grain rice 4kg,50201700
Delivery note for 1 pcs of Concrete wall section,30111504
Requisition for Fresh eggs 12-pack,50131705
Delivery note for 1 pcs of Copper wire 100m,26121524
Line item: Mature cheddar block,50131708
Order placed for White cheddar slices,50131708
Procurement of Fresh eggs 12-pack,50131705
Requisition for 10mm construction steel,30102307
Order placed for Wall coating white matte,31211504
Acquired 1 units of White paint 10L,31211504
Invoice: 1 x Office WiFi router,43222609
Invoice: 50 x Drainage elbow 50mm,40142320
Bought: 1 Farm eggs (large),50131705
Delivery note for 2 pcs of Laptop with 16GB RAM,43211503
Bought: 12 Cheddar wedge 500g,50131708
Delivery note for 2 pcs of Basmati rice 5kg,50201700
Procurement of PVC elbow 2in,40142320
Line item: Thai jasmine rice,50201700
Bought: 12 Laptop i7 processor,43211503
Bought: 2 Steel rods for foundation,30102307
Shipment includes Mature cheddar block,50131708
Requested: Wall slab 2m,30111504
Order placed for Long grain rice 4kg,50201700
Requisition for Wireless dual-band router,43222609
Requisition for Single core insulated cable,26121524
Procurement of Rice sack 5kg,50201700
Delivery note for 25 pcs of Steamed white rice,50201700
Order placed for Mild steel bars,30102307
Bought: 25 White paint 10L,31211504
Procurement of Office WiFi router,43222609
Invoice: 50 x House wiring cable,26121524
Invoice: 50 x Farm eggs (large),50131705
Line item: Block of cheddar 1kg,50131708
Procurement of Plastic pipe elbow joint,40142320
Acquired 5 units of White paint 10L,31211504
Requisition for Flexible copper wire,26121524
Requested: PVC elbow 2in,40142320
Acquired 5 units of Wireless dual-band router,43222609
Shipment includes 14-inch business laptop,43211503
Acquired 2 units of Farm eggs (large),50131705
Acquired 50 units of Farm eggs (large),50131705
Order placed for House wiring cable,26121524
Shipment includes Basmati rice 5kg,50201700
Delivery note for 5 pcs of Cheddar wedge 500g,50131708
Acquired 25 units of Laptop with 16GB RAM,43211503
Line item: 90-degree PVC fitting,40142320
Line item: Long grain rice 4kg,50201700
Acquired 12 units of Carton of large eggs,50131705
Procurement of Steamed white rice,50201700
Requisition for Steamed white rice,50201700
Invoice: 50 x Block of cheddar 1kg,50131708
Procurement of Exterior concrete board,30111504
Acquired 5 units of Notebook PC for office,43211503
Procurement of Thai jasmine rice,50201700
Acquired 5 units of White cheddar slices,50131708
Bought: 2 Carton of large eggs,50131705
Shipment includes House wiring cable,26121524
Order placed for Plastic pipe elbow joint,40142320
Requisition for White cheddar slices,50131708
Delivery note for 50 pcs of Copper wire 100m,26121524
Requested: Drainage elbow 50mm,40142320
Requested: Drainage elbow 50mm,40142320
Line item: Block of cheddar 1kg,50131708
Acquired 25 units of Carton of large eggs,50131705
Requisition for Wireless dual-band router,43222609
Invoice: 25 x 90-degree PVC fitting,40142320
Requisition for Mature cheddar block,50131708
Invoice: 2 x Notebook PC for office,43211503
Acquired 12 units of Carton of large eggs,50131705
Line item: Wall slab 2m,30111504
Bought: 1 Electric cable 1.5mm,26121524
Shipment includes 14-inch business laptop,43211503
Shipment includes Free-range eggs pack,50131705
Order placed for Thai jasmine rice,50201700
Line item: Wireless dual-band router,43222609
Invoice: 50 x House wiring cable,26121524
Invoice: 50 x Single core insulated cable,26121524
Requisition for White cheddar slices,50131708
Requisition for Steel rebars 10mm,30102307
Invoice: 5 x Plastic pipe elbow joint,40142320
Requisition for 5L matte paint bucket,31211504
Requested: 14-inch business laptop,43211503
Invoice: 25 x House wiring cable,26121524
Requisition for Plumbing pipe elbow,40142320
Bought: 12 Electric cable 1.5mm,26121524
Bought: 25 Sliced cheddar cheese,50131708
Bought: 1 Wall slab 2m,30111504
Procurement of Steel rebars 10mm,30102307
Requested: Wall slab 2m,30111504
Bought: 25 Exterior concrete board,30111504
Requisition for 10mm construction steel,30102307
Requested: Drainage elbow 50mm,40142320
Line item: Steamed white rice,50201700
Line item: Rebar rods for concrete,30102307
Requested: Farm eggs (large),50131705
Acquired 50 units of Concrete wall section,30111504
Shipment includes Internet router for branch,43222609
Requisition for WiFi 6 router,43222609
Line item: Office WiFi router,43222609
Requested: Drainage elbow 50mm,40142320
Delivery note for 10 pcs of Laptop with 16GB RAM,43211503
Requested: Exterior concrete board,30111504
Bought: 25 Mature cheddar block,50131708
Invoice: 10 x Office WiFi router,43222609
Line item: Flexible copper wire,26121524
Order placed for Carton of large eggs,50131705
Requested: Flexible copper wire,26121524
Procurement of Wall slab 2m,30111504
Bought: 50 Drainage elbow 50mm,40142320
Requisition for Fresh eggs 12-pack,50131705
Invoice: 5 x Laptop i7 processor,43211503
Acquired 1 units of Gigabit router 5GHz,43222609
Bought: 12 Basmati rice 5kg,50201700
Requisition for 5L matte paint bucket,31211504
Requisition for Laptop i7 processor,43211503
Bought: 25 House wiring cable,26121524
Invoice: 1 x Precast wall panel,30111504
Acquired 12 units of Steamed white rice,50201700
Requested: Office WiFi router,43222609
Requisition for Flexible copper wire,26121524
Invoice: 25 x Steel rebars 10mm,30102307
Requisition for Gigabit router 5GHz,43222609
Requisition for Cheddar wedge 500g,50131708
Acquired 2 units of WiFi 6 router,43222609
Delivery note for 12 pcs of Thai jasmine rice,50201700
Requisition for WiFi 6 router,43222609
Delivery note for 10 pcs of Free-range eggs pack,50131705
Acquired 25 units of Mild steel bars,30102307
Bought: 5 Laptop i7 processor,43211503
Line item: Steel rods for foundation,30102307
Requested: Heavy panel for construction,30111504
Line item: Steel rods for foundation,30102307
Shipment includes Single core insulated cable,26121524
Bought: 25 White paint 10L,31211504
Procurement of Notebook PC for office,43211503
Invoice: 10 x Gigabit router 5GHz,43222609
Requisition for Wall coating white matte,31211504
Procurement of Exterior concrete board,30111504
Requested: Cheddar wedge 500g,50131708
Requisition for Gigabit router 5GHz,43222609
Line item: Office WiFi router,43222609
Acquired 25 units of WiFi 6 router,43222609
Line item: Plumbing pipe elbow,40142320
Requisition for 5L matte paint bucket,31211504
Delivery note for 25 pcs of 5L matte paint bucket,31211504
Acquired 10 units of Wall coating white matte,31211504
Delivery note for 5 pcs of WiFi 6 router,43222609
Requisition for Company-issued laptop,43211503
Invoice: 5 x Steamed white rice,50201700
Order placed for Mild steel bars,30102307
Line item: Fresh eggs 12-pack,50131705
Delivery note for 12 pcs of Matte latex paint,31211504
Order placed for Plastic pipe elbow joint,40142320
Requested: Concrete wall section,30111504
Requested: Electric cable 1.5mm,26121524
Acquired 25 units of Laptop i7 processor,43211503
Invoice: 1 x Carton of large eggs,50131705
Shipment includes Electric cable 1.5mm,26121524
Requested: Farm eggs (large),50131705
Delivery note for 25 pcs of 90-degree PVC fitting,40142320
Bought: 2 Steel rebars 10mm,30102307
Invoice: 10 x Copper wire 100m,26121524
Shipment includes Block of cheddar 1kg,50131708
Delivery note for 1 pcs of Organic eggs dozen,50131705
Bought: 12 Mild steel bars,30102307
Delivery note for 10 pcs of 14-inch business laptop,43211503
Line item: Single core insulated cable,26121524
Delivery note for 2 pcs of Flexible copper wire,26121524
Invoice: 25 x 14-inch business laptop,43211503
Invoice: 1 x Fresh eggs 12-pack,50131705
Bought: 25 Internet router for branch,43222609
Bought: 50 Interior matte emulsion,31211504
Requisition for Rice sack 5kg,50201700
Order placed for Laptop i7 processor,43211503
Acquired 2 units of White cheddar slices,50131708
Shipment includes Mild steel bars,30102307
Acquired 5 units of Fresh eggs 12-pack,50131705
Procurement of Heavy panel for construction,30111504
Procurement of Office WiFi router,43222609
Delivery note for 2 pcs of Laptop i7 processor,43211503
Delivery note for 25 pcs of Thai jasmine rice,50201700
Acquired 12 units of 14-inch business laptop,43211503
Invoice: 10 x Interior matte emulsion,31211504
Bought: 5 White cheddar slices,50131708
Line item: Thai jasmine rice,50201700
Requested: Electric cable 1.5mm,26121524
Requisition for Precast wall panel,30111504
Order placed for House wiring cable,26121524
Requisition for Laptop with 16GB RAM,43211503
Requisition for Matte latex paint,31211504
Requisition for Mature cheddar block,50131708
Bought: 10 Notebook PC for office,43211503
Line item: Company-issued laptop,43211503
Invoice: 12 x 10mm construction steel,30102307
Bought: 1 Rice sack 5kg,50201700
Delivery note for 25 pcs of Flexible copper wire,26121524
Delivery note for 50 pcs of 10mm construction steel,30102307
Bought: 1 Rebar rods for concrete,30102307
Acquired 25 units of 10mm construction steel,30102307
Procurement of Company-issued laptop,43211503
Delivery note for 10 pcs of Carton of large eggs,50131705
Shipment includes Sliced cheddar cheese,50131708
Shipment includes Rice sack 5kg,50201700
Invoice: 25 x Company-issued laptop,43211503
Invoice: 12 x Wireless dual-band router,43222609
Invoice: 25 x Thai jasmine rice,50201700
Procurement of White paint 10L,31211504
Shipment includes Free-range eggs pack,50131705
Requested: Long grain rice 4kg,50201700
Delivery note for 2 pcs of Office WiFi router,43222609
Shipment includes Laptop with 16GB RAM,43211503
Requested: Rebar rods for concrete,30102307
Procurement of Company-issued laptop,43211503
Requested: Precast wall panel,30111504
Line item: 10mm construction steel,30102307
Procurement of Electric cable 1.5mm,26121524
Requested: House wiring cable,26121524
Bought: 12 Wall slab 2m,30111504
Delivery note for 2 pcs of Office WiFi router,43222609
Shipment includes Electric cable 1.5mm,26121524
Requisition for PVC elbow 2in,40142320
Requisition for White cheddar slices,50131708
Shipment includes Mild steel bars,30102307
Shipment includes House wiring cable,26121524
