description,unspsc_code
Order for Canned or jarred kohlrabi,504643
Retail stock: Brass bars,302615
Procurement of Dried sorrels,504260
Received shipment: Frozen kale,504442
Procurement of Cabinet accessories,301623
Warehouse received: Frozen mustards,504449
Procurement of Glass products,301717
Invoice lists Blueberries,503022
Used in repairs: Dried apricots,503216
Procurement of Frozen bayberries or myrtle,503448
Warehouse received: Dried lettuces,504246
Invoice lists Dried garlics,504238
Warehouse received: Dried chives,504231
Warehouse received: Dried chinese cabbages,504230
Order for Aquatic plants,501218
Warehouse received: Plucots,503057
Procurement of Rain gutters and accessories,301517
Used in repairs: Washers,311618
Warehouse received: Chassis components,432016
Warehouse received: Plastic films,131112
Retail stock: Canned or jarred barberries,503618
Inventory includes Dried cauliflowers,504226
Restocking Apricots,503016
Invoice lists Frozen leeks,504444
Inventory includes Frozen loquats,503443
Invoice lists Dried peaches,503253
Restocking Rose hip purees,503869
Used in repairs: Frozen sugar peas,504469
Received shipment: Packaging cans,241218
Restocking Packaging cans,241218
Construction supply: Dried blackberries,503220
Inventory includes Chinese cabbages,504030
Procurement of Wine grape purees,503839
Order for Kohlrabi,504043
Construction supply: Dried mangoes,503245
Warehouse received: Dragonfruit,503030
Warehouse received: Dried kumquats,503240
Procurement of Dried corn,504232
Procurement of Doors,301715
Retail stock: Tin bars,302630
Invoice lists Dried sugar apple,503268
Retail stock: Dried fennels,504237
Restocking Aluminum coil,302651
Received shipment: Canned or jarred kiwi fruit,503639
Inventory includes Beams,301017
Procurement of Ceiling materials,301616
Invoice lists Molded seals,314119
Inventory includes Processed cereals,502212
Restocking Frozen huckleberries,503438
Received shipment: Melons,503046
Construction supply: Dried limes,503242
Retail stock: Boxes,241131
Restocking Bins and baskets,241120
Warehouse received: Canned or jarred kimchis,504670
Retail stock: Frozen beets,504419
Order for Canned or jarred pomelos,503660
Retail stock: Road and railroad construction materials,301217
Restocking Dried figs,503231
Procurement of Dried currants,503228
Received shipment: Canned or jarred gooseberries,503632
Restocking Dried apricots,503216
Procurement of Bread and biscuits and cookies,501819
Procurement of Wall finishing materials,301615
Retail stock: Dried artichokes,504215
Received shipment: Precious metal and specialty metal sheets,302661
Restocking Loquats,503043
Restocking Nuts excluding wild edible nuts and groundnuts,501025
Warehouse received: Dried bilberries,503221
Invoice lists Wine grapes,503036
Inventory includes Dried olives,503272
Invoice lists Dried bearberries,503219
Restocking Crates,241129
Retail stock: Dried oranges,503250
Construction supply: Beets,504019
Restocking Dried cauliflowers,504226
Order for Dried spinaches,504261
Procurement of Bronze bars,302625
Used in repairs: Elastomers,131017
Restocking Steel alloy bars,302637
Order for Carbon steel bars,302636
Order for Rhubarb purees,503868
Inventory includes Canned or jarred mulberries,503647
Received shipment: Lettuces,504046
Restocking Dried bearberries,503219
Received shipment: Aggregates,301118
Construction supply: Tool steel bars,302638
Retail stock: Skylights,301718
Used in repairs: Specialty insulation,301416
Retail stock: Orange purees,503855
Order for Spinaches,504062
Procurement of Frozen gooseberries,503432
Procurement of Canned or jarred corn,504632
Received shipment: Sand,043050
Retail stock: Canned or jarred avocados,504617
Order for Freight containers,241128
Inventory includes Personal communications device accessories or parts,431916
Warehouse received: Non sanitary residential fixtures,301816
Retail stock: Sugar peas,504071
Received shipment: Aggregates,301118
Used in repairs: Canned or jarred gourds,504639
Received shipment: Dried chinese cabbages,504230
Order for Canned or jarred saskatoon berries,503666
Restocking Aluminum bars,302649
Inventory includes Nominant vegetables,504070
Order for Braid,301037
Inventory includes Olive purees,503877
Invoice lists Lead sheets,302634
Invoice lists Aluminum sheets,302650
Procurement of Frozen nominant vegetables,504468
Inventory includes Canned or jarred guavas,503637
Retail stock: Frozen potatoes,504456
Used in repairs: Frozen apples,503415
Warehouse received: Canned or jarred pears,503654
Received shipment: Table grapes,503034
Invoice lists Food baskets,501934
Received shipment: Copper sheets,302623
Received shipment: Residues other than animal feed,044484
Used in repairs: Fibrous crop seeds and seedlings,044849
Order for Stone,042685
Received shipment: Frozen nectarines,503449
Inventory includes Frozen bearberries,503419
Used in repairs: Canned or jarred endives,504636
Invoice lists Shafts,301039
Restocking Dried sapotes,503265
Received shipment: Snack foods,501921
Procurement of Canned or jarred pineapples,503656
Used in repairs: Dried fennels,504237
Order for Dried lentils,504245
Construction supply: Green peas,504040
Invoice lists Strawberries,503067
Invoice lists Cereals,502211
Construction supply: Dried avocados,504217
Inventory includes Canned or jarred saskatoon berries,503666
Restocking Turnip greens,504066
Invoice lists Frozen olives,503472
Invoice lists Canned or jarred chicories,504629
Order for Canned or jarred peanuts,504653
Invoice lists Canned or jarred nominant fruits,503670
Used in repairs: Minerals,042318
Inventory includes Frozen celery,504427
Restocking Flour and milled products,502213
Procurement of Tin ingots strip and coil,302632
Restocking Canned or jarred sugar apple,503668
Inventory includes Iron bars,302653
Retail stock: Copper sheets,302623
Used in repairs: Lemon purees,503845
Retail stock: Blueberries,503022
Inventory includes Nuts,311617
Order for Zinc ingots strips billets and coil,302629
Procurement of Aquatic invertebrates,501217
Restocking Engineered wood products,044147
Received shipment: Chocolate and sugars and sweetening products,501615
Warehouse received: Canned or jarred turnip greens,504665
Restocking Iron sheets,302654
Order for Wine grapes,503036
Procurement of Eggplants,504035
Warehouse received: Fresh vegetable juice or concentrate,502031
Used in repairs: Frozen gourds,504439
Inventory includes Copper sheets,302623
Inventory includes Dried asparagus,504216
Used in repairs: Dried papayas,503251
Warehouse received: Bearberries,503019
Retail stock: Canned or jarred bilberries,503621
Procurement of Potatoes,504057
Used in repairs: Snack foods,501921
Warehouse received: Frozen okras,504451
Invoice lists Frozen barberries,503418
Restocking Wall finishing materials,301615
Order for Canned or jarred raspberries,503662
Used in repairs: Dried sweet potatoes,504263
Order for Dried beans,504218
Retail stock: Frozen nominant fruits,503470
Retail stock: Dried cauliflowers,504226
Invoice lists Cheese,501318
Inventory includes Tobacco product accessories and supplies,502116
Used in repairs: Vinegars and cooking wines,501717
Procurement of Roofing materials,301515
Inventory includes Canned or jarred sea vegetables,504658
Warehouse received: Fresh vegetable juice or concentrate,502031
Inventory includes Finishing materials and products,301519
Procurement of Pineapples,503056
Restocking Flour tortillas,501933
Retail stock: Bins and baskets,241120
Restocking Kumquats,503040
Used in repairs: Thermal insulation,301415
Inventory includes Specialty steel bars,302639
Used in repairs: Frozen olives,503472
Restocking Frozen tamarillo,503469
Retail stock: Beets,504019
Received shipment: Dried celery,504227
Invoice lists Pineapples,503056
Used in repairs: Frozen kale,504442
Used in repairs: Frozen onions,504452
Received shipment: Canned or jarred cabbages,504623
Warehouse received: Fish,501215
Warehouse received: Okras,504052
Restocking System boards processors interfaces or modules,432015
Used in repairs: Loquats,503043
Retail stock: Dried chicories,504229
Order for Milk and butter products,501317
Restocking Crates,241129
Restocking Plasters,301117
Invoice lists Concrete and mortars,301115
Used in repairs: Tuber seeds and seedlings,045580
Warehouse received: Frozen chicories,504429
Warehouse received: Rosins,131111
Inventory includes Natural rubber,131015
Construction supply: Dried chicories,504229
Construction supply: Canned or jarred bearberries,503619
Construction supply: Frozen cresses,504433
Invoice lists Asparagus,504016
Retail stock: Wine grape purees,503839
Construction supply: Dried leeks,504244
Received shipment: Bricks,301316
Procurement of Canned or jarred leeks,504644
Restocking Canned or jarred chokeberries,503671
Retail stock: Computer accessories,432116
Warehouse received: Dried rose hips,503264
Inventory includes Canned or jarred potatoes,504656
Procurement of Dried myrtle,503248
Invoice lists Confectionary products,501618
Restocking Dried oranges,503250
Invoice lists Canned or jarred apricots,503616
Invoice lists Grapefruit purees,503837
Received shipment: Glass products,301717
Order for Plastic coil and strips,302659
Order for Doors,301715
Invoice lists Dried rhubarb,503263
Construction supply: Food baskets,501934
Warehouse received: Carbon steel bars,302636
Procurement of Apricot purees,503820
Construction supply: Dried cucumbers,504234
Used in repairs: Honeycomb core,301035
Warehouse received: Nectarine purees,503854
Invoice lists Plain pasta and noodles,501929
Used in repairs: Canned or jarred herbs,504641
Construction supply: Frozen turnip greens,504465
Used in repairs: Dried raspberries,503262
Invoice lists Fresh pome fruit juice or concentrate,502026
Received shipment: Pallets,241127
Order for Mulberry purees,503852
Procurement of Garage doors and operators,301721
Used in repairs: Ferrous alloy ingots strips billets and coil,302657
Invoice lists Dried onions,504252
Received shipment: Chicories,504029
Retail stock: Frozen bilberries,503421
Construction supply: Plastic bars and sheets,302658
Order for Processed meat and poultry products,501120
Retail stock: Gourds,504039
Invoice lists Citron purees,503830
Procurement of Canned or jarred chives,504631
Construction supply: Canned or jarred mandarin oranges or tangerines,503644
Received shipment: Blueberry purees,503826
Construction supply: Frozen chokeberries,503471
Retail stock: Frozen celery,504427
Retail stock: Fish,501215
Warehouse received: Frozen pomelos,503460
Inventory includes Flour tortillas,501933
Construction supply: Lead bars,302633
Warehouse received: Kumquat purees,503844
Retail stock: Frozen oranges,503450
Used in repairs: Frozen tomatoes,504464
Retail stock: Canned or jarred pears,503654
Construction supply: Screws,311615
Received shipment: Milk and butter products,501317
Construction supply: Canned or jarred chokeberries,503671
Construction supply: Dried celery,504227
Restocking Canned or jarred blueberries,503622
Invoice lists Bronze bars,302625
Restocking Dried chives,504231
Retail stock: Frozen rutabagas,504457
Construction supply: Okras,504052
Invoice lists Canned or jarred peppers,504655
Restocking Personal communication devices,431915
Construction supply: Frozen rutabagas,504457
Procurement of Frozen table grapes,503434
Restocking Edible vegetable and plant oils and fats,501515
Invoice lists Onions,504053
Restocking Crates,241129
Inventory includes Frozen sugar peas,504469
Inventory includes Frozen apricots,503416
Retail stock: Frozen strawberries,503467
Procurement of Canned or jarred cabbages,504623
Received shipment: Aquatic invertebrates,501217
Received shipment: Magnesium bars and sheets,302618
Invoice lists Dried chives,504231
Used in repairs: Securing and protecting supplies,241415
Received shipment: Flour and milled products,502213
Invoice lists Bronze ingots strips billets and coil,302627
Procurement of Canned or jarred mulberries,503647
Used in repairs: Dried raisin grapes,503235
Used in repairs: Dried asparagus,504216
Inventory includes Dried raisin grapes,503235
Retail stock: Chokeberries,503071
Construction supply: Frozen mangoes,503445
Used in repairs: Frozen corn,504432
Order for Pallets,241127
Invoice lists Bread and biscuits and cookies,501819
Used in repairs: Blackberries,503020
Used in repairs: Rosins,131111
Warehouse received: Frozen pineapples,503456
Order for Wine grapes,503036
Warehouse received: Canned or jarred sapotes,503665
Used in repairs: Canned or jarred bunching onions,504622
Construction supply: Canned or jarred endives,504636
Order for Canned or jarred malanga,504647
Inventory includes Leeks,504044
Restocking Frozen cherries,503425
Used in repairs: Carbon steel ingots strips billets and coil,302644
Used in repairs: Frozen gourds,504439
Retail stock: Herbs,504041
Retail stock: Canned or jarred persimmons,503655
Warehouse received: Chicories,504029
Invoice lists Farm raised fish,501221
Construction supply: Beets,504019
Invoice lists Brass bars,302615
Restocking Savory pies and quiches and pasties,501928
Used in repairs: Canned or jarred cucumbers,504634
Construction supply: Nuts,311617
Order for Canned or jarred peanuts,504653
Used in repairs: Cabinetry,301618
Inventory includes Frozen bearberries,503419
Used in repairs: Canned or jarred garlics,504638
Received shipment: Frozen sweet potatoes,504463
Construction supply: Farm raised shellfish,501225
Received shipment: Canned or jarred spinaches,504661
Warehouse received: Bearberries,503019
Retail stock: Canned or jarred chards,504628
Order for Saskatoon berries,503066
Used in repairs: Tamarillo,503069
Warehouse received: Aluminum bars,302649
Warehouse received: Wild caught shellfish,501224
Order for Dates,503029
Procurement of Frozen summer squashes and summer pumpkins,504462
Used in repairs: Doors,301715
Received shipment: Dried citrons,503226
Construction supply: Nuts excluding wild edible nuts and groundnuts,501025
Received shipment: Washers,311618
Order for Canned or jarred lentils,504645
Restocking Instant mixes and supplies,501931
Used in repairs: Frozen cresses,504433
Inventory includes Dried cherimoyas,503224
Invoice lists Bearberries,503019
Construction supply: Frozen peaches,503453
Inventory includes Mushrooms,504048
Inventory includes Peach purees,503858
Used in repairs: Bronze ingots strips billets and coil,302627
Restocking Papayas,503051
Used in repairs: Limes,503042
Restocking Canned or jarred rhubarb,503663
Procurement of Summer squashes and summer pumpkins,504063
Construction supply: Frozen tomatoes,504464
Order for Barberries,503018
Retail stock: Canned or jarred kiwi fruit,503639
Order for Frozen mandarin oranges or tangerines,503444
Inventory includes Frozen mushrooms,504448
Invoice lists Dried potatoes,504256
Procurement of Rails,301031
Order for Canned or jarred cherimoyas,503624
Order for Sweet potatoes,504064
Invoice lists Canned or jarred raisin grapes,503635
Invoice lists Frozen raspberries,503462
Order for Frozen wine grapes,503436
Warehouse received: Tree and shrub seeds and cuttings,044119
Received shipment: Dried grapefruit,503233
Invoice lists Frozen carrots,504425
Received shipment: Cherry purees,503829
Construction supply: Dried blackberries,503220
Procurement of Dried lemons,503241
Warehouse received: Natural rubber,131015
Invoice lists Dried guavas,503237
Construction supply: Dried peas,504254
Restocking Mustards,504049
Inventory includes Canned or jarred plucots,503657
Received shipment: Washers,311618
Warehouse received: Dried melons,503246
Warehouse received: Frozen pineapples,503456
Procurement of Bags,241115
Received shipment: Bolts,311616
Restocking Frozen sugar peas,504469
Procurement of Processed cereals,502212
Warehouse received: Canned or jarred nectarines,503649
Order for Canned or jarred cardoons,504624
Restocking Canned or jarred olives,503672
Warehouse received: Dried leeks,504244
Used in repairs: Canned or jarred plums,503658
Used in repairs: Dried papayas,503251
Invoice lists Clays,043415
Procurement of Cardoons,504024
Warehouse received: Frozen limes,503442
Invoice lists Soil stabilizers and reinforcing materials,301219
Procurement of Canned or jarred fennels,504637
Restocking Frozen asparagus,504416
Warehouse received: Cranberries,503027
Procurement of Kale,504042
Warehouse received: Desserts and dessert toppings,501923
Order for Dried tamarillo,503269
Inventory includes Canned or jarred tomatoes,504664
Retail stock: Chokeberries,503071
Used in repairs: Rivets,311622
Inventory includes Blueberry purees,503826
Procurement of Cranberry purees,503831
Retail stock: Dragonfruit purees,503834
Inventory includes Avocados,504017
Order for Canned or jarred sweet potatoes,504663
Used in repairs: Gates,301720
Construction supply: Passion fruit purees,503857
Procurement of Beets,504019
Used in repairs: Magnesium ingots strips billets and coil,302619
Inventory includes Canned or jarred guavas,503637
Construction supply: Raspberries,503062
Received shipment: Baking mixes and supplies,501817
Used in repairs: Canned or jarred bananas,503617
Received shipment: Cereal seeds,042658
Retail stock: Frozen pomegranates,503459
Restocking Dried peanuts,504253
Warehouse received: Foil,301020
Retail stock: Canned or jarred gooseberries,503632
Construction supply: Canned or jarred bearberries,503619
Construction supply: Garlics,504038
Used in repairs: Dried cardoons,504224
Warehouse received: Frozen sugar peas,504469
Restocking Infant foods and beverages,501930
Inventory includes Precious metals,043414
Invoice lists Frozen sea vegetables,504458
Procurement of Dried pears,503254
Restocking Kumquats,503040
Construction supply: Doors,301715
Invoice lists Dried apples,503215
Construction supply: Dried avocados,504217
Warehouse received: Decorative rock,043780
Warehouse received: Nuts,311617
Used in repairs: Springs,311619
Inventory includes Citron purees,503830
Order for Sugar products,501619
Construction supply: Canned or jarred carrots,504625
Inventory includes Apricot purees,503820
Received shipment: Frozen sapotes,503465
Construction supply: Frozen fennels,504437
Invoice lists Eggs and egg substitutes,501316
Inventory includes Resins,131110
Restocking Huckleberry purees,503842
Inventory includes Non alcoholic beverages,502023
Restocking Nectarine purees,503854
Warehouse received: Canned or jarred raisin grapes,503635
Restocking Plasters,301117
"Retail stock: Faucet and shower heads, jets and parts and accessories",301818
Order for Canned or jarred rose hips,503664
Retail stock: Canned or jarred nominant fruits,503670
Invoice lists Bilberry purees,503825
Procurement of Dried barberries,503218
Invoice lists Removable storage media accessories,432021
Used in repairs: Freight containers,241128
Construction supply: Papaya purees,503856
Retail stock: Canned or jarred chinese cabbages,504630
Invoice lists Canned or jarred pomelos,503660
Construction supply: Frozen mushrooms,504448
Construction supply: Tanks and cylinders and their accessories,241118
Construction supply: Dried table grapes,503234
Order for Onions,504053
Procurement of Frozen beans,504418
Restocking Dried malanga,504247
Invoice lists Nominant fruit purees,503875
Used in repairs: Lettuces,504046
Invoice lists Canned or jarred cranberries,503627
Restocking Citron purees,503830
Warehouse received: Barberries,503018
Inventory includes Eggplants,504035
Construction supply: Canned or jarred okras,504651
Retail stock: Canned or jarred mustards,504649
Retail stock: Canned or jarred cabbages,504623
Inventory includes Copper sheets,302623
Used in repairs: Aluminum coil,302651
Retail stock: Quince purees,503866
Inventory includes Pomelos,503060
Inventory includes Raspberry purees,503867
Construction supply: Dried blueberries,503222
Restocking Frozen cucumbers,504434
Restocking Frozen peaches,503453
Restocking Canned or jarred saskatoon berries,503666
Invoice lists Frozen yams,504467
Procurement of Aquatic plants,501218
Invoice lists Frozen peas,504454
Inventory includes Canned or jarred chokeberries,503671
Procurement of Corrugated and other supplies for distribution,241125
Retail stock: Frozen wine grapes,503436
Received shipment: Frozen chinese cabbages,504430
Invoice lists Frozen saskatoon berries,503466
Invoice lists Frozen cherimoyas,503424
Construction supply: Canned or jarred olives,503672
Restocking Dried wine grapes,503236
Warehouse received: Beans,504018
Retail stock: Frozen mustards,504449
Warehouse received: Tool steel bars,302638
Restocking Frozen bearberries,503419
Procurement of Soil stabilizers and reinforcing materials,301219
Invoice lists Spinaches,504062
Restocking System boards processors interfaces or modules,432015
Invoice lists Dried currants,503228
Inventory includes Media storage device accessories,432019
Received shipment: Raw milk products,502032
Restocking Canned or jarred kale,504642
Order for Precious metal and specialty metal bars,302660
Retail stock: Rod,301024
Received shipment: Loquat purees,503847
Restocking Mangoes,503045
Order for Grapefruit purees,503837
Order for Other animal products,042687
Retail stock: Dried kumquats,503240
Restocking Passion fruit purees,503857
Received shipment: Flower seeds and bulbs and seedlings and cuttings,043753
Construction supply: Dried raisin grapes,503235
